type,pos,headword,freq,range
abt,,,21268,709
af,,,17666,724
afk,,,46923,720
ah,,,86048,731
ahh,,,20111,727
ahhh,,,15256,724
aight,,,35378,726
alr,,,14277,686
aw,,,20347,724
aww,,,22977,722
ay,,,13478,721
aye,,,17546,724
ayo,,,22297,688
bai,,,12479,648
bday,,,14088,717
bf,,,17219,721
boi,,,25292,724
boop,,,18680,632
brb,,,16377,719
bro,,,155418,730
bruh,,,180687,731
btw,,,56345,729
chan,,,24528,697
chu,,,15128,634
congrats,,,23718,720
cry,,,34923,730
cutie,,,23821,707
cuz,,,77600,733
cya,,,29685,719
dang,,,20076,724
ded,,,20521,721
died,,,27966,728
dms,,,45816,729
doin,,,18093,721
dunno,,,14952,720
dw,,,20285,725
eh,,,39753,726
ello,,,11206,701
emoji,,,19584,721
emotes,,,26410,717
ez,,,9409,714
fav,,,17850,722
feels,,,17754,729
fn,,,22482,724
fortnite,,,22611,709
gf,,,27711,726
gg,,,35546,715
gif,,,17425,720
gimme,,,15562,716
gn,,,72135,728
gon,,,19459,728
gonna,,,237783,733
gotta,,,62431,732
gtg,,,16041,721
gud,,,13696,704
hai,,,31765,716
hbu,,,36232,721
heh,,,11095,710
hehe,,,21391,727
hentai,,,16751,537
heya,,,18535,694
heyo,,,15480,702
hihi,,,15639,693
hii,,,27811,723
hiii,,,33255,723
hiya,,,12265,683
hmm,,,77458,732
hmmm,,,45749,727
homie,,,16420,705
huh,,,82670,728
idc,,,12996,719
idk,,,173775,735
ight,,,17739,719
ik,,,52680,732
ikr,,,27214,723
ily,,,28733,715
im,,,1099153,736
ima,,,45654,724
imma,,,79785,729
irl,,,24361,727
ive,,,75703,728
jk,,,31624,724
kek,,,13367,634
legit,,,20179,722
lemme,,,27660,729
lil,,,50075,725
lmao,,,215485,733
lmaoo,,,13173,717
lmaooo,,,12374,713
lmfao,,,28111,726
ln,,,25872,723
lol,,,302,184
lvl,,,42547,721
manga,,,20076,698
meh,,,18120,720
memes,,,17942,716
mhm,,,29960,727
mi,,,7804,701
mic,,,11960,718
min,,,15770,722
minecraft,,,37650,725
na,,,17810,722
nah,,,138797,731
nani,,,19841,696
ngl,,,25540,728
nitro,,,105111,722
nom,,,15698,617
noni,,,6687,709
nooo,,,24123,725
nope,,,32093,725
nsfw,,,23801,716
nvm,,,31862,730
ofc,,,21104,730
ohh,,,19879,723
ohhh,,,23487,728
oi,,,24070,720
oki,,,17589,716
okie,,,13236,712
omg,,,115677,731
oo,,,23618,724
oof,,,80806,730
ooh,,,16737,729
ooo,,,30084,725
oop,,,32918,716
oops,,,10574,719
osu,,,13950,660
ow,,,24569,723
pfp,,,124298,727
pics,,,30131,726
pinged,,,26256,721
pls,,,86143,729
plz,,,13454,721
pog,,,21618,689
pp,,,25637,714
ppl,,,56201,731
ps,,,15492,716
qt,,,22885,661
rlly,,,17333,727
rn,,,120199,734
roblox,,,28905,719
senpai,,,17589,693
si,,,7253,707
simp,,,60085,614
skrrt,,,53502,241
smh,,,40114,724
smol,,,12282,687
smth,,,11589,723
soo,,,12285,721
sooo,,,15158,725
spotify,,,12824,718
stfu,,,10686,685
tbh,,,39380,731
tf,,,63736,729
tho,,,147096,733
thx,,,18820,723
toon,,,29756,728
tryna,,,21914,722
ty,,,45820,729
ugh,,,16056,722
uh,,,77187,730
uhh,,,23450,727
uhhh,,,22747,724
uhm,,,12965,724
um,,,33949,727
umm,,,13341,723
uwu,,,46509,719
vc,,,125772,729
waifu,,,17340,677
wanna,,,292759,734
wassup,,,14910,717
wat,,,28375,725
wbu,,,28426,719
wdym,,,34755,728
weeb,,,24800,712
welp,,,27395,726
wha,,,23347,721
woah,,,38481,723
woke,,,25978,724
wot,,,14897,712
wtf,,,23595,725
wut,,,25840,716
xd,,,20530,717
ya,,,102118,731
yall,,,108649,729
yay,,,33788,726
ye,,,67827,728
yeet,,,16409,688
yep,,,26738,728
yikes,,,12422,706
yn,,,47764,726
yo,,,116358,730
yooo,,,12797,721
yup,,,17233,722
